Image,Title,Rating,Price,Result_Type
https://m.media-amazon.com/images/I/61QY1NrWQBL._AC_UY218_.jpg,"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",3.8 out of 5 stars,"14,990",Organic
https://m.media-amazon.com/images/I/81X61ewuNUL._AC_UY218_.jpg,HP 245 AMD R5 8GB 512GB DOS 14-inch 1.36kg,3.8 out of 5 stars,"29,990",Organic
https://m.media-amazon.com/images/I/71pKJ+Mjd8L._AC_UY218_.jpg,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",4.6 out of 5 stars,"93,900",Organic
https://m.media-amazon.com/images/I/61ZejdSL77L._AC_UY218_.jpg,"EDNITA Mini Laptop Stand for Desk | Portable Metal PC Desk Stand, Aluminium Cooling Pad Mini Clip Compatible with MacBook Apple Laptop, Lenovo, Dell, Hp, Acer & Other Laptops Pack of-2 (Silver)",4.3 out of 5 stars,197,Organic
https://m.media-amazon.com/images/I/619X5s7lZQL._AC_UY218_.jpg,"Acer Aspire Lite, 13th Gen, Intel Core i3-1305U, 8GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop",3.9 out of 5 stars,"32,990",Organic
https://m.media-amazon.com/images/I/71Z4mSII9BL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",3.8 out of 5 stars,"52,490",Organic
https://m.media-amazon.com/images/I/512kJc9mROL._AC_UY218_.jpg,"Sounce Mouse Pad Speed Type Mouse Pad with Antifray Stitched Embroidery Edges, Non-Slip Rubber Base Mousepad for Laptop PC (260mm x 210mm x 2mm) (Black)",4.4 out of 5 stars,99,Organic
https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",4.1 out of 5 stars,"33,821",Ad
https://m.media-amazon.com/images/I/713cu-sW3TL._AC_UY218_.jpg,"Primebook 2 Neo 2025 (New Launch) | 6GB RAM, 128GB Storage (Upgradable Upto 512GB) | MediaTek Helio G99 | Android 15 (PrimeOS3.0) | in-Built AI | 11.6” Thin & Light Laptop | Type-C, USB, MicroSD Ports",4.5 out of 5 stars,"14,990",Ad
https://m.media-amazon.com/images/I/71JuZnct6TL._AC_UY218_.jpg,"FRONTECH 15.6"" Portable LED Monitor, Full HD IPS, Dual Type-C & Mini HDMI, Built-in Speakers, 180° Stand, Works with Laptop/PS5/Switch/Phone, 1-Year Warranty (MON-0023)",4.1 out of 5 stars,"8,049",Organic
https://m.media-amazon.com/images/I/71I9chrFYFL._AC_UY218_.jpg,"Dell 15 Laptop DC15250-15.6-inch FHD (1920x1080) 120Hz Display, Intel Core i5-1334U Processor, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Platinum Silver",4.5 out of 5 stars,"52,750",Organic
https://m.media-amazon.com/images/I/713jrXbHWWL._AC_UY218_.jpg,"HP Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 2050, 16GB DDR4 (Upgradeable) 512GB SSD, 144Hz, IPS, 300 nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2703tx Gaming Laptop",3.8 out of 5 stars,"63,990",Organic
https://m.media-amazon.com/images/I/71zFrQvHTOL._AC_UY218_.jpg,"Gooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers | Blue Color, Power Source: 3xAA Battery (Not Included)",3.8 out of 5 stars,366,Organic
https://m.media-amazon.com/images/I/51mN-RUnn5L._AC_UY218_.jpg,"Portronics My Buddy K Portable Laptop Stand with Adjustable Height, Foldable, OverHeating Protection for Laptops & MacBooks (Grey)",4.2 out of 5 stars,399,Organic
https://m.media-amazon.com/images/I/81+SKGgJ9yL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, Intel Core 12th Gen, 8GB RAM, 512GB SSD, FHD 15.6""(39.62cm), Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, Thin & Light, 1Yr ADP Free Laptop",3.9 out of 5 stars,"32,990",Organic
https://m.media-amazon.com/images/I/61lpgBhZXgL._AC_UY218_.jpg,"acer Professional 14[New Launch], 13th Gen Intel Core i7-1355U Turbo Boost, 32GB DDR4, 1TB SSD, Win11 Pro, MSO21, 14inch FHD Laptop, 3 Year Warranty, 1 Year Anti Virus, Fingerprint, Backlit KB",3.9 out of 5 stars,"72,300",Organic
https://m.media-amazon.com/images/I/8174YnTefkL._AC_UY218_.jpg,"ASUS ROG Strix G16,Samrtchoice, AMD Ryzen 9 8940HX, Gaming Laptop(RTX 5050-8GB/16GB RAM/1TB SSD/FHD+/16""/165Hz/90Whr/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.5 Kg) G614PH-RV033WS",4.0 out of 5 stars,"1,39,990",Organic
https://m.media-amazon.com/images/I/51CIIx6l+VL._AC_UY218_.jpg,"Primebook 2 Pro 2025 (New Launch) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)",4.5 out of 5 stars,"18,590",Ad
https://m.media-amazon.com/images/I/71hA39z1klL._AC_UY218_.jpg,"Primebook 2 Max 2025 (New Launch) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI | Aqua",4.5 out of 5 stars,"21,590",Ad
